guidename,runtime,obs,df,sig,assymmetry,i,time,loss
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,870,1575813888.4585786,2.3691113806668653
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,880,1575813888.4776683,2.548246228525941
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,890,1575813888.5048,2.6747405970620157
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,900,1575813888.5204263,2.778721492496667
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,910,1575813888.5516694,2.4447801561214275
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,920,1575813888.5672903,2.684761638206225
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,930,1575813888.5829108,3.1922400996589566
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,940,1575813888.605038,3.6075822505348727
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,950,1575813888.6307707,2.7263061410219667
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,960,1575813888.647508,1.3326214791908193
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,970,1575813888.6631298,2.782423675779735
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,980,1575813888.678751,1.0285827007482848
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,990,1575813888.7048779,1.893917508035227
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1000,1575813888.7277343,1.543461228409876
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1010,1575813888.7476807,-0.05334500711417034
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1020,1575813888.7627237,1.8165205434560892
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1030,1575813888.7783458,1.2142970878038022
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1040,1575813888.793967,2.817249468839678
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1050,1575813888.8217564,1.3373806644527455
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1060,1575813888.8378017,1.567063537118858
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1070,1575813888.853424,2.5288503255315207
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1080,1575813888.8690453,2.6308349274118124
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1090,1575813888.8846662,2.617475618757809
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1100,1575813888.9047947,2.245466550233529
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1110,1575813888.9375148,1.8741985092241713
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1120,1575813888.958459,3.6494318395536802
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1130,1575813888.977586,2.1863660268145484
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1140,1575813888.9932065,2.441064807871323
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1150,1575813889.0047147,2.6076182662873997
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1160,1575813889.0203397,3.0410495414256746
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1170,1575813889.051582,1.9350560186514434
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1180,1575813889.0703876,5.451472575654465
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1190,1575813889.0804467,1.7805748287775456
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1200,1575813889.1045735,2.997096293943497
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1210,1575813889.1274922,2.374688168008058
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1220,1575813889.1472034,2.0169228159510615
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1230,1575813889.1628263,2.1499236792054743
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1240,1575813889.1784472,2.2297873288637375
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1250,1575813889.204574,3.5226147898960773
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1260,1575813889.222432,2.743317110516407
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1270,1575813889.2403834,2.321582054614284
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1280,1575813889.2593338,7.0646291245051955
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1290,1575813889.2780426,2.084860120186659
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1300,1575813889.293664,1.9096862697599617
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1310,1575813889.3046708,2.403293356848221
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1320,1575813889.335516,1.9565643079327606
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1330,1575813889.3532622,1.5296870306149368
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1340,1575813889.3688831,1.613845212396395
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1350,1575813889.384505,1.5656961519528476
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1360,1575813889.4046319,0.07161841082262876
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1370,1575813889.4303734,2.1412479299923004
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1380,1575813889.4483254,3.9763865383003707
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1390,1575813889.4672744,2.4115420253762307
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1400,1575813889.47739,2.2563970088034666
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1410,1575813889.50452,4.122250219902099
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1420,1575813889.5201454,2.904525059885481
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1430,1575813889.5357666,1.8402003587238527
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1440,1575813889.5513878,3.1588289881320497
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1450,1575813889.5826304,1.0156708381989201
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1460,1575813889.6047583,2.511765328706624
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1470,1575813889.624577,1.3562112799228883
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1480,1575813889.6316721,1.4810259425853989
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1490,1575813889.647294,2.51621347018225
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1500,1575813889.6785362,2.387738700712964
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1510,1575813889.694158,2.7982996629750616
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1520,1575813889.7046642,2.040127343373755
meanfield,1575813886.5036702,tensor(0.),tensor(2.),tensor(0.4000),2.0,1530,1575813889.7385142,2.4705133641004715
